id;code;description;is_active;avatar_attributes_code;template_text
1;South;Operations GB;false;ADP;harness Agent
2;copying Enhanced hack;turn-key open-source Implementation;true;global XML Industrial;Consultant
3;optical;incentivize vertical Account;true;backing Arkansas iterate;Pizza Programmable Islands
4;Directives Re-engineered;deposit;true;schemas Paradigm Chips;index Checking Colorado
5;Indiana Account connecting;solutions withdrawal payment;true;SDR International;Industrial optimize Electronics
6;programming bi-directional bandwidth-monitored;Mozambique Mouse;false;Idaho wireless compelling;sky Soap Dynamic
7;Strategist;Coordinator Functionality;false;system-worthy Pre-emptive;Cotton
8;turquoise complexity back-end;payment;false;Implementation quantifying;navigating
9;Rustic;Steel;false;Gorgeous mobile Montana;orchid Key digital
10;enable deposit;bluetooth Up-sized;true;asynchronous Sol Industrial;Incredible
