id;code;description;is_active;img_url;width;height;x;y
1;Port engineer;Home;true;online;43687;45913;71121;57995
2;Representative;cyan Unit;true;Cotton;48386;14809;81278;88066
3;indigo State);one-to-one application;false;EXE FTP Electronics;98572;53902;77193;88724
4;Centralized;navigating;true;e-markets Architect;93597;68759;20594;59002
5;Chips invoice hack;Arkansas bandwidth Generic;true;Mexico;30588;97540;26425;96883
6;Principal Savings Future;connecting;false;Home;59388;48778;25154;95985
7;static;portals Dinar Regional;true;Fresh;52845;51727;50456;44803
8;Monitored Corporate;website Utah uniform;false;blue Escudo Sleek;2739;27287;84959;5905
9;initiatives;cross-media IB Future;true;monetize Wooden array;41035;74548;60199;22735
10;Ergonomic sensor;Bike bandwidth;true;repurpose Computer;9946;90556;39460;79328
