id;code;name;title;sub_title;author;is_active;no_of_pages;store_img
1;Fresh;Front-line Saudi protocol;compressing;infomediaries;Multi-lateral Tactics supply-chains;false;90845;Pennsylvania
2;Sleek;Dakota maximized;Berkshire Architect Account;Executive Soap District;seize turquoise Soft;false;43955;Borders
3;Caledonia Books Planner;Ford;Plastic Grocery;Personal Account Bhutanese;Cliffs;false;87489;Berkshire
4;parsing;index;Car rich Customer-focused;SMTP;Ball Concrete Incredible;false;33434;Web
5;ivory;Berkshire Fantastic;Organic;multimedia copying Borders;Engineer user-facing object-oriented;true;52623;Chief
6;Web;Solutions well-modulated New;Idaho;bus Pula XSS;Rustic;true;1847;Data Village Account
7;functionalities Mandatory;Berkshire Facilitator Industrial;purposes content-based;drive;Agent Maryland;false;29860;bandwidth-monitored paradigms
8;Forest solutions firmware;circuit time-frame invoice;niches;Computers repurpose;Internal Metal;false;7000;Missouri FTP
9;override;Benin;portals Concrete open-source;e-markets functionalities invoice;connect;false;4885;Cambridgeshire Integration tan
10;Usability;indexing transmitting ivory;Direct Concrete bandwidth;asynchronous;Organized;false;75933;indexing iterate plum
