id;avatar_attributes;avatar_charactor;style;jhi_option;is_active
1;Cove Functionality Generic;Dynamic Prairie Spurs;USB Malta;Fresh Bike;false
2;optimize Central Mills;Trail panel Factors;RSS;multi-byte;false
3;Ferry Future;Car;Incredible;Division;false
4;Mountain Rubber;New Shirt XSS;Benin Tactics Street;Cheese 1080p Wooden;false
5;blue Card payment;Security;Fresh CSS Human;Port;false
6;Computers copying Buckinghamshire;Agent Borders;Integrated SDD;navigate;false
7;Islands green;Avon Chair Synergistic;Electronics;harness orchid Borders;true
8;Leu Consultant Cliff;world-class Kids;scale Ergonomic Loan;deposit Program;true
9;Rubber programming hack;Incredible;Jewelery deposit invoice;Montserrat turquoise;false
10;Representative hack Bond;Global Fort Associate;visionary web-readiness;expedite Cambridgeshire;false
