id;code;description;is_active;image_url
1;Handcrafted Bedfordshire schemas;reboot Car;false;Account networks
2;XSS;Cambridgeshire green;true;Account National
3;Administrator;Soft deposit;true;parse GB
4;Soap;Ball generate;false;Shirt
5;Electronics generating;Assistant array HDD;false;User-centric Human Pre-emptive
6;Lead;Checking extend Guinea;true;navigating
7;hack;Marketing;false;best-of-breed
8;parse Ridge;copying;false;Incredible
9;primary Refined;Planner application Malawi;false;Computer
10;Card platforms Lock;programming;false;Roads
