id;avatar_code;style_code;option_code;image;height;x;y;is_active;width;avatar_attributes_code;avatar_style
1;facilitate;Architect Product Chips;Dynamic drive;Louisiana;5020;80451;64776;true;16251;Officer programming;Peso Synchronised California
2;infrastructure Response;Factors;application Interface;Program Industrial Rubber;52935;11839;53443;true;26080;Refined Clothing Fantastic;ADP Pizza Cotton
3;Associate;Philippines Niger;Legacy;24/7 Clothing Analyst;98036;24422;90149;false;32495;Communications deliver;Shoes Officer
4;circuit;hack parse;Cambridgeshire Borders dynamic;Cheese;15506;53349;15740;false;4940;Shirt;Soft Dollar Market
5;Computers;Iraqi invoice West;user-centric Soap Frozen;grey;29667;63106;59012;true;76112;back-end;Incredible Loaf Global
6;Shoes Money Bedfordshire;cutting-edge Multi-lateral;Ergonomic;motivating;91717;36970;72092;false;74190;Grocery;copying solid up
7;Ridges;Borders;strategic capacity;matrix Turkish Bridge;92200;74144;8510;false;77858;algorithm;Courts
8;Intelligent;Manager Lira;Representative;XSS;87856;66616;80364;true;91158;Salad;Accountability impactful
9;Toys;Facilitator;Down-sized Helena;Accounts;70974;13797;71455;true;87696;calculating Rustic optimize;holistic Camp
10;Principal teal Wyoming;payment eyeballs Fords;maximize Kids;Internal;29529;9133;5732;true;79140;impactful Square recontextualize;lime HDD
