id;code;description;img_url;is_active;width;height;x;y;is_text
1;District;Brunei neural;Lead;true;24462;37085;58449;94810;false
2;Alabama Rubber;primary payment;Shirt;true;16694;79200;5005;21081;true
3;Account Practical;Chile defect Texas;calculating Customizable Program;true;69133;50717;78913;45353;true
4;Ball Drive;District Optimized;Sri override;true;1425;10896;98029;71600;true
5;parallelism Health knowledge;unleash Intelligent;encompassing Group payment;false;55977;71804;64923;88760;true
6;Nepal Refined;Practical XML Small;process quantify extend;false;53166;64907;15732;75560;false
7;purple Riel challenge;supply-chains Mouse Steel;Toys;false;21328;75282;84861;44304;false
8;Realigned payment;reciprocal reciprocal Plastic;withdrawal infrastructures;true;84416;68281;53210;94747;false
9;Berkshire Credit;cross-platform Dirham Puerto;Alabama Plastic Central;false;68707;561;14623;17993;true
10;JSON Cheese Specialist;Manager Shirt magnetic;wireless Fresh;true;65648;90666;78524;7573;true
